Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-15 00:00:00+05:30,128.0,128.07000732421875,126.48999786376953,126.77999877929688,4650740,0.0,0.0
2024-10-16 00:00:00+05:30,126.30999755859375,127.16000366210938,124.30999755859375,125.16000366210938,8602970,0.0,0.0
2024-10-17 00:00:00+05:30,125.19999694824219,125.73999786376953,121.55999755859375,121.81999969482422,10127720,0.0,0.0
2024-10-18 00:00:00+05:30,121.80000305175781,122.77999877929688,119.01000213623047,122.27999877929688,11397560,0.0,0.0
2024-10-21 00:00:00+05:30,123.0,123.62000274658203,120.0,120.72000122070312,6622805,0.0,0.0
2024-10-22 00:00:00+05:30,120.80000305175781,121.43000030517578,116.73999786376953,117.62999725341797,12225415,0.0,0.0
2024-10-23 00:00:00+05:30,117.58999633789062,119.19999694824219,115.61000061035156,117.56999969482422,27091965,0.0,0.0
2024-10-24 00:00:00+05:30,117.55999755859375,122.4000015258789,117.0,120.97000122070312,19282830,0.0,0.0
2024-10-25 00:00:00+05:30,121.13999938964844,122.45999908447266,117.0199966430664,118.45999908447266,12163925,0.0,0.0
2024-10-28 00:00:00+05:30,117.22000122070312,121.33999633789062,114.52999877929688,119.63999938964844,18421050,0.0,0.0
2024-10-29 00:00:00+05:30,115.98999786376953,119.22000122070312,115.66000366210938,118.45999908447266,13248035,0.0,0.0
2024-10-30 00:00:00+05:30,119.0,119.95999908447266,116.80999755859375,118.41000366210938,9043955,0.0,0.0
2024-10-31 00:00:00+05:30,120.19999694824219,121.9800033569336,118.0,118.54000091552734,12171955,0.0,0.0
2024-11-01 00:00:00+05:30,119.13999938964844,119.98999786376953,118.69999694824219,119.47000122070312,1981195,0.0,0.0
2024-11-04 00:00:00+05:30,119.38999938964844,119.38999938964844,116.44000244140625,117.0,7362355,0.0,0.0
2024-11-05 00:00:00+05:30,116.98999786376953,121.4800033569336,116.19999694824219,120.69000244140625,10442775,0.0,0.0
